country,date,sector,value,timestamp
EU27 & UK,5/2/2019,Power,3.67425,1549296000
France,5/2/2019,Power,0.158769,1549296000
Germany,5/2/2019,Power,1.00514,1549296000
India,5/2/2019,Power,3.43736,1549296000
Italy,5/2/2019,Power,0.301444,1549296000
Japan,5/2/2019,Power,1.71692,1549296000
ROW,5/2/2019,Power,12.2008,1549296000
Russia,5/2/2019,Power,2.88369,1549296000
Spain,5/2/2019,Power,0.203433,1549296000
UK,5/2/2019,Power,0.311531,1549296000
US,5/2/2019,Power,4.39087,1549296000
WORLD,5/2/2019,Power,37.408,1549296000
Brazil,6/2/2019,Power,0.216017,1549382400
China,6/2/2019,Power,8.88875,1549382400
EU27 & UK,6/2/2019,Power,3.59921,1549382400
France,6/2/2019,Power,0.151056,1549382400
Germany,6/2/2019,Power,1.00525,1549382400
India,6/2/2019,Power,3.42297,1549382400
Italy,6/2/2019,Power,0.279861,1549382400
Japan,6/2/2019,Power,1.85992,1549382400
ROW,6/2/2019,Power,12.6909,1549382400
Russia,6/2/2019,Power,2.91692,1549382400
Spain,6/2/2019,Power,0.204995,1549382400
UK,6/2/2019,Power,0.260479,1549382400
US,6/2/2019,Power,4.42642,1549382400
WORLD,6/2/2019,Power,38.0211,1549382400
Brazil,7/2/2019,Power,0.202087,1549468800
China,7/2/2019,Power,9.16694,1549468800
EU27 & UK,7/2/2019,Power,3.06228,1549468800
France,7/2/2019,Power,0.122604,1549468800
Germany,7/2/2019,Power,0.781401,1549468800
India,7/2/2019,Power,3.28744,1549468800
Italy,7/2/2019,Power,0.322021,1549468800
Japan,7/2/2019,Power,1.73334,1549468800
ROW,7/2/2019,Power,11.7884,1549468800
Russia,7/2/2019,Power,2.92408,1549468800
Spain,7/2/2019,Power,0.186095,1549468800
UK,7/2/2019,Power,0.233217,1549468800
US,7/2/2019,Power,4.36857,1549468800
WORLD,7/2/2019,Power,36.5332,1549468800
Brazil,8/2/2019,Power,0.188435,1549555200
China,8/2/2019,Power,9.70926,1549555200
EU27 & UK,8/2/2019,Power,2.62501,1549555200
France,8/2/2019,Power,0.09552,1549555200
Germany,8/2/2019,Power,0.620997,1549555200
India,8/2/2019,Power,3.34261,1549555200
Italy,8/2/2019,Power,0.328932,1549555200
Japan,8/2/2019,Power,1.82852,1549555200
ROW,8/2/2019,Power,12.0241,1549555200
Russia,8/2/2019,Power,2.90248,1549555200
Spain,8/2/2019,Power,0.166362,1549555200
UK,8/2/2019,Power,0.161329,1549555200
US,8/2/2019,Power,4.73228,1549555200
WORLD,8/2/2019,Power,37.3527,1549555200
Brazil,9/2/2019,Power,0.181349,1549641600
China,9/2/2019,Power,10.496,1549641600
EU27 & UK,9/2/2019,Power,1.86866,1549641600
France,9/2/2019,Power,0.058693,1549641600
Germany,9/2/2019,Power,0.371639,1549641600
India,9/2/2019,Power,3.34381,1549641600
Italy,9/2/2019,Power,0.239293,1549641600
Japan,9/2/2019,Power,1.85324,1549641600
ROW,9/2/2019,Power,11.5495,1549641600
Russia,9/2/2019,Power,2.87267,1549641600
Spain,9/2/2019,Power,0.113067,1549641600
UK,9/2/2019,Power,0.123311,1549641600
US,9/2/2019,Power,4.71252,1549641600
WORLD,9/2/2019,Power,36.8778,1549641600
Brazil,10/2/2019,Power,0.183352,1549728000
China,10/2/2019,Power,11.0477,1549728000
EU27 & UK,10/2/2019,Power,1.90694,1549728000
France,10/2/2019,Power,0.058352,1549728000
Germany,10/2/2019,Power,0.38089,1549728000
India,10/2/2019,Power,3.27305,1549728000
Italy,10/2/2019,Power,0.178186,1549728000
Japan,10/2/2019,Power,1.60025,1549728000
ROW,10/2/2019,Power,10.6006,1549728000
Russia,10/2/2019,Power,2.81382,1549728000
Spain,10/2/2019,Power,0.081131,1549728000
UK,10/2/2019,Power,0.209114,1549728000
US,10/2/2019,Power,4.70954,1549728000
WORLD,10/2/2019,Power,36.1353,1549728000
Brazil,11/2/2019,Power,0.198071,1549814400
China,11/2/2019,Power,11.3278,1549814400
EU27 & UK,11/2/2019,Power,2.7564,1549814400
France,11/2/2019,Power,0.120863,1549814400
Germany,11/2/2019,Power,0.597382,1549814400
India,11/2/2019,Power,3.29824,1549814400
Italy,11/2/2019,Power,0.255827,1549814400
Japan,11/2/2019,Power,1.81156,1549814400
ROW,11/2/2019,Power,11.9934,1549814400
Russia,11/2/2019,Power,2.87319,1549814400
Spain,11/2/2019,Power,0.159096,1549814400
